"","logFC","logCPM","F","PValue","FDR","Population"
"UBXN1",0.391496473804244,8.71547409399258,32.1445001146358,1.67437606380737e-06,1.17960547918681e-05,"CD8T_LOMGlow_1"
"IL16",0.39135062431242,8.41285147893474,9.73245047461328,0.00358887080639258,0.00938627749364212,"CD8T_LOMGlow_1"
"CCNG1",0.390913043229438,7.40085536460032,16.0322305111862,0.000282764471622319,0.00102608731697751,"CD8T_LOMGlow_1"
"CMTM7",0.390766205382994,7.11906575317063,15.4151989516258,0.000355698450959257,0.00125295580473035,"CD8T_LOMGlow_1"
"PTDSS1",0.39059969956335,7.03445276058609,14.4350387468797,0.000515479575320311,0.00171220045567365,"CD8T_LOMGlow_1"
"BCL7C",-0.387812366025826,7.44484430282932,17.1278428764772,0.000189537766360554,0.000724785003882414,"CD8T_LOMGlow_1"
"EIF3K",0.387623730228225,10.0596849058481,39.7409092526096,2.28311932646827e-07,2.12646167532855e-06,"CD8T_LOMGlow_1"
"DHPS",0.387343895224591,6.97276705121616,10.7582976014228,0.00224389120910476,0.00619127502786354,"CD8T_LOMGlow_1"
"TMOD3",-0.385671163331475,7.4748417175919,14.7869733117964,0.000450763323600185,0.00154265610089866,"CD8T_LOMGlow_1"
"RBMX",0.385543326576754,8.2213075578585,18.4259399920643,0.000119379925988687,0.000481211866614191,"CD8T_LOMGlow_1"
"TRAF3IP3",0.385485526580603,9.24569056616567,14.492080765433,0.000504355247769175,0.00168974391250471,"CD8T_LOMGlow_1"
"PSMB10",-0.385191246908528,8.50044937139744,15.692241326743,0.000320753001444069,0.00114013112331483,"CD8T_LOMGlow_1"
"NPAT",0.384438318905595,7.04418427330867,7.07680742277666,0.0115808109106844,0.0260985421675942,"CD8T_LOMGlow_1"
"ANXA2R",0.383724777093645,7.22417623540536,14.4342728364664,0.000515630699886373,0.00171220045567365,"CD8T_LOMGlow_1"
"NME3",0.383643274059726,7.52151330420389,19.6821944574561,7.71926255488936e-05,0.000327179583627289,"CD8T_LOMGlow_1"
"CYTIP",0.382767856722298,8.87306296990501,15.7400149462442,0.000315103806779103,0.00112516519132995,"CD8T_LOMGlow_1"
"CCT3",0.382357402711432,7.91950564498945,13.0938894729192,0.000868209184264253,0.00271575832837858,"CD8T_LOMGlow_1"
"PPP1R12A",-0.380487535275756,7.86424539663018,21.5083572955978,4.17272611732328e-05,0.000190822913669404,"CD8T_LOMGlow_1"
"ADD1",-0.38011388424032,7.58345268769379,11.8503216338888,0.00142943102961053,0.00418657327773571,"CD8T_LOMGlow_1"
"C19orf53",0.379375824387792,8.77861145763721,28.027744645265,5.43726633932282e-06,3.27072482873111e-05,"CD8T_LOMGlow_1"
"ARL6IP1",-0.378592255878283,8.2559885321041,21.8695792788588,3.70387946145813e-05,0.000171386611766879,"CD8T_LOMGlow_1"
"PHYKPL",0.378365000839248,7.19096379343539,11.1857072244558,0.00187797224232631,0.00532092135325788,"CD8T_LOMGlow_1"
"TTC39C",-0.378217337578664,7.55628559769993,13.1900375801322,0.000835899169019095,0.00263284962130132,"CD8T_LOMGlow_1"
"GNAI2",-0.376913264894559,9.0111747598756,30.4926386657077,2.66165032155627e-06,1.75646460038566e-05,"CD8T_LOMGlow_1"
"EIF4A2",0.376673190010832,8.61150754009194,13.2655523600411,0.000811417656347124,0.00257415256496329,"CD8T_LOMGlow_1"
"DARS1",0.376624750404085,7.21263035225267,10.5263970084577,0.00247353787242011,0.0067280230129827,"CD8T_LOMGlow_1"
"UBE2D2",0.376477610525262,9.05512365346931,36.2160422321087,5.60303520082763e-07,4.58803510685571e-06,"CD8T_LOMGlow_1"
"RASA2",0.376108101321234,8.21002417702339,17.9518619228262,0.000141135036574912,0.0005574121141494,"CD8T_LOMGlow_1"
"PARP1",-0.375136743415273,7.34696528690447,17.0696306108149,0.000193564427733629,0.000734793118872319,"CD8T_LOMGlow_1"
"ABRACL",0.373824171577917,8.50425104043263,14.2886226156098,0.000545240722962407,0.00180668748032459,"CD8T_LOMGlow_1"
"SUPT20H",0.372937114906293,6.70665613205453,12.8574238529844,0.000953440984682798,0.00294118678509644,"CD8T_LOMGlow_1"
"SEPTIN6",0.371670446616413,9.0061872700659,15.3927405113091,0.000358702739570735,0.00126069906671602,"CD8T_LOMGlow_1"
"TSTD1",0.370784880925257,8.16086886884837,15.8960323980568,0.000297376953828177,0.00106673751327355,"CD8T_LOMGlow_1"
"PSIP1",0.37071232114795,8.48888816887792,21.0783420187411,4.81390403802547e-05,0.000216349020559535,"CD8T_LOMGlow_1"
"CEP85L",0.370415792367025,7.10525105586582,13.1315030510175,0.00085541435988155,0.00268109831433817,"CD8T_LOMGlow_1"
"OGT",0.36982515216546,7.63769592595185,12.3277730514262,0.00117825720502332,0.00351678295545128,"CD8T_LOMGlow_1"
"SEMA4D",0.369618133439628,8.01963695043045,14.5538889621703,0.000492587971087066,0.00166036117840554,"CD8T_LOMGlow_1"
"SEC11A",-0.369325204381256,7.54232043675603,17.748514467677,0.000151717387030716,0.00059769771616131,"CD8T_LOMGlow_1"
"TOMM7",0.36928389203342,10.6002025025858,32.0420985950568,1.72259975146285e-06,1.20813722479278e-05,"CD8T_LOMGlow_1"
"ETS1",0.368947589599589,10.2647386149136,14.1419147595023,0.000579182786594186,0.00190027394975051,"CD8T_LOMGlow_1"
"ANP32E",-0.367833995728552,7.5363151983394,8.16772482573455,0.00691534338513074,0.0165629357646929,"CD8T_LOMGlow_1"
"YWHAZ",-0.367601671263881,9.92265381776128,29.1722558316424,3.88881079812952e-06,2.4623886997063e-05,"CD8T_LOMGlow_1"
"EIF3M",0.36711048794721,8.28242653040174,19.0792727374076,9.5031280388516e-05,0.000395289687573508,"CD8T_LOMGlow_1"
"EIF3D",0.366942634311058,8.21215728373927,6.87780777441217,0.0129467010589623,0.0287622733753083,"CD8T_LOMGlow_1"
"CD96",0.366375814441665,8.94620102013702,18.715432295737,0.000107863903886027,0.000445116479360807,"CD8T_LOMGlow_1"
"PCGF5",0.365342636210081,7.46557584511734,9.99359709463539,0.0031014043079595,0.00816598710041862,"CD8T_LOMGlow_1"
"MKRN1",0.364922065228449,7.15751558993804,16.4261686769497,0.000244620187838125,0.000913093016178587,"CD8T_LOMGlow_1"
"TOMM20",0.364144031421305,8.53974199056382,18.139216329326,0.000132074519112043,0.000525609536618921,"CD8T_LOMGlow_1"
"SUCLG2",0.361102832702568,7.20612341268149,14.5845484451142,0.00048685915513302,0.00165532112745227,"CD8T_LOMGlow_1"
"FUS",0.360696271997917,9.2440714044544,28.8091386192363,4.32224533103248e-06,2.68253638799e-05,"CD8T_LOMGlow_1"
"MAX",0.358092800695655,7.92149142657716,31.2357469881689,2.15755560648196e-06,1.4519454921379e-05,"CD8T_LOMGlow_1"
"NDUFB10",-0.356253661214767,8.04860134086855,14.6161154115361,0.000481034461686044,0.00163908038796726,"CD8T_LOMGlow_1"
"AKT3",-0.354942448094284,7.39706482385256,12.8162106498848,0.000969183039690424,0.0029721613217173,"CD8T_LOMGlow_1"
"DDT",0.354643549016455,7.99324416851075,11.257672035447,0.00182287473301061,0.00518359287714291,"CD8T_LOMGlow_1"
"TBCA",0.353744708429549,8.68738856643624,17.7244035410666,0.000153026694543014,0.000601341081068527,"CD8T_LOMGlow_1"
"PSMA7",-0.353060222687275,8.58646057448268,19.1673669647973,9.21737151402614e-05,0.000385453717859275,"CD8T_LOMGlow_1"
"AKNA",-0.352672747410571,8.2510040987083,12.3841260804271,0.0011518619375295,0.00345779668003098,"CD8T_LOMGlow_1"
"VASP",-0.352481433974539,7.44760092710346,10.8168289438157,0.00218958871182259,0.00608262299341126,"CD8T_LOMGlow_1"
"PRKCB",-0.352432280003891,8.27679135549105,16.964635018325,0.000201057746681112,0.000761390595179806,"CD8T_LOMGlow_1"
"ZBTB20",0.352269106350099,8.16614653527119,11.1285755692117,0.00192297325147681,0.00541897327082834,"CD8T_LOMGlow_1"
"SCP2",-0.352062463684655,7.40126604491129,9.63385155550138,0.00362005944839438,0.00945204169831187,"CD8T_LOMGlow_1"
"TMED2",-0.351996766077289,7.49045010064192,14.4658261977387,0.00050944348194916,0.00169886909545519,"CD8T_LOMGlow_1"
"IKZF3",-0.351639214974292,7.78413101903311,6.92821602066015,0.0123998280183931,0.0276258276649099,"CD8T_LOMGlow_1"
"RHOG",-0.350221039755621,7.91206857806362,12.8255825400103,0.000965579227572457,0.00296692713540928,"CD8T_LOMGlow_1"
"GPX4",0.349648327816782,8.7637377487367,27.4331083582731,6.48759326120633e-06,3.77196872138539e-05,"CD8T_LOMGlow_1"
"STUB1",-0.349538420963016,7.66509884470883,22.1145565299113,3.41781086907039e-05,0.000160201619988958,"CD8T_LOMGlow_1"
"CCT4",0.348988029506475,8.0631032621307,16.5066900256828,0.000237516614731876,0.000890829701296531,"CD8T_LOMGlow_1"
"ZC3HAV1",0.348512550124155,8.54193125294282,11.1427833358703,0.00191167612673845,0.00539686184516053,"CD8T_LOMGlow_1"
"SUB1",-0.347860086567031,9.03315373790949,18.535883688553,0.000114860271447423,0.000470265613988927,"CD8T_LOMGlow_1"
"NDUFB5",0.347104996924935,7.00288951113618,9.58019846644022,0.00370501782297872,0.00962566092215733,"CD8T_LOMGlow_1"
"CCT2",0.346594015524412,7.68421354500786,16.4801859980179,0.000239830382265396,0.000897355784361433,"CD8T_LOMGlow_1"
"EVL",0.344954911854068,9.96649229741784,38.4816712934874,3.13072393702391e-07,2.78207513494625e-06,"CD8T_LOMGlow_1"
"VDAC3",-0.344502721010409,7.109544031182,15.4703960950879,0.000348427309741212,0.0012328966344689,"CD8T_LOMGlow_1"
"ANKRD49",0.343690216243452,6.58594497881654,6.05365389754265,0.0185908645377746,0.0394519839037714,"CD8T_LOMGlow_1"
"ATXN7L3B",0.342994467101929,6.87992302806691,12.0748259920419,0.00130489789025055,0.0038579589798712,"CD8T_LOMGlow_1"
"H2AZ1",-0.341831267516659,8.48753609665622,5.58613599291491,0.024003971288815,0.0496590093858553,"CD8T_LOMGlow_1"
"STXBP2",-0.340825918258867,7.10076162571035,11.5716007745941,0.00160185703523809,0.00462233284707081,"CD8T_LOMGlow_1"
"BLOC1S1",-0.340667933199442,7.93706177771202,12.7410873797862,0.000998591377093823,0.00303261536655289,"CD8T_LOMGlow_1"
"UQCRH",0.340583748713562,8.98036695314052,22.0090293030381,3.53806772623827e-05,0.000164688628685615,"CD8T_LOMGlow_1"
"ZNF706",0.340261195014074,7.8128073554391,13.0217311619802,0.000893326612285172,0.00277765968511731,"CD8T_LOMGlow_1"
"FOXJ3",0.339798594030523,7.21430805314837,10.3847303630369,0.00262603258091597,0.00708123268371135,"CD8T_LOMGlow_1"
"PSMA6",-0.339299748287824,7.75743267629492,13.1877478343605,0.00083665362006826,0.00263284962130132,"CD8T_LOMGlow_1"
"TM9SF2",-0.338160056679263,7.53406208404773,12.4623742958894,0.00111624712281712,0.0033637967246358,"CD8T_LOMGlow_1"
"BAX",-0.337002875090777,7.87454117632374,14.8276435420604,0.000443859374921975,0.00152570563159993,"CD8T_LOMGlow_1"
"EGLN2",0.336119327207397,7.04577194889512,8.86904906427607,0.00505607063901264,0.0127543459345416,"CD8T_LOMGlow_1"
"RHOA",-0.335430011714181,9.60808488523753,30.0841347947225,2.99040873821589e-06,1.95690345881575e-05,"CD8T_LOMGlow_1"
"RNF7",-0.335383581312747,7.53280210610038,18.8547927288026,0.000102744592148285,0.000425112545290786,"CD8T_LOMGlow_1"
"HNRNPA1",0.335171066874713,10.8106968905083,25.7256963277104,1.08787414504724e-05,5.9909688832883e-05,"CD8T_LOMGlow_1"
"NAP1L1",0.334702873473408,8.54267310469913,15.9554968990743,0.000290901141087933,0.00104590663140581,"CD8T_LOMGlow_1"
"UBC",-0.333193657507652,10.9187312794777,13.9182484339626,0.000628954137516694,0.0020366133976731,"CD8T_LOMGlow_1"
"HLA-A",-0.332659186043435,12.4302128449716,15.6689551001266,0.000323545356490001,0.00114744883798268,"CD8T_LOMGlow_1"
"DOCK2",-0.332308039442278,7.29130514140393,18.5670714016255,0.000113611384666231,0.000467600541099962,"CD8T_LOMGlow_1"
"OAZ1",-0.332076024165185,9.92534393486466,34.7523951945155,8.24296831853066e-07,6.4783931910462e-06,"CD8T_LOMGlow_1"
"PTK2B",0.331200914191519,6.84108046350032,11.6637875633458,0.00154250235282654,0.00447583243009408,"CD8T_LOMGlow_1"
"SRP19",-0.330927336639788,7.28932707193492,16.7020074095798,0.000221177284233666,0.000831541520532342,"CD8T_LOMGlow_1"
"TAP1",-0.330536580054009,7.78311612224905,6.92161042040162,0.0122863043315736,0.0274903862297297,"CD8T_LOMGlow_1"
"UHMK1",-0.329965717880803,7.09877046607733,12.7929646298669,0.000978183667646413,0.00298292384774068,"CD8T_LOMGlow_1"
"TOMM22",0.328879986127354,7.60536364295493,12.306460139416,0.00118840666774218,0.00354032005399766,"CD8T_LOMGlow_1"
"ACTB",-0.328583759670451,13.6091861968405,21.8297146792947,3.75277413620831e-05,0.000173136836254566,"CD8T_LOMGlow_1"
"COX8A",-0.32845745134887,8.6676486357861,22.1115420957769,3.42118549081278e-05,0.000160201619988958,"CD8T_LOMGlow_1"
"ROCK1",-0.324977145762129,7.59036336052713,11.6456122219463,0.00155401696864235,0.004492574009162,"CD8T_LOMGlow_1"
"PDLIM2",-0.324482831828047,7.23558412627864,8.65460336955789,0.00556018648851338,0.0137162960063642,"CD8T_LOMGlow_1"
"UBAC2",0.324447952592414,7.71940459371922,13.7656729381943,0.000667309913685502,0.00214747470165458,"CD8T_LOMGlow_1"
"PSME1",-0.324145577287723,10.0195586780836,23.5660324078977,2.13836403298587e-05,0.000108233053320061,"CD8T_LOMGlow_1"
"CD8A",-0.321426121274301,10.0829727650364,14.571396453994,0.00048930795095031,0.00165644509802226,"CD8T_LOMGlow_1"
"NAP1L4",0.321402118363648,8.66023474073164,15.119204327226,0.000397529557132922,0.00138471320123806,"CD8T_LOMGlow_1"
"ISCU",0.321188775840562,8.34924401617173,16.2771992656632,0.000258361623280664,0.000955266143761131,"CD8T_LOMGlow_1"
"U2SURP",0.320841560517823,7.98544078528928,16.3579028182805,0.000250818693490926,0.000931782509785769,"CD8T_LOMGlow_1"
"TNKS2",-0.320742256465181,7.10332355669126,16.5576481021484,0.000290533821866947,0.00104590663140581,"CD8T_LOMGlow_1"
"COX6A1",-0.320511424079411,9.19110533986437,24.6482097987743,1.51926035972514e-05,8.06529346911101e-05,"CD8T_LOMGlow_1"
"ARL2BP",0.320101371660645,7.06461668024616,11.4107894573898,0.00171128105404721,0.00488402111045591,"CD8T_LOMGlow_1"
"ZNF721",0.319834326008545,6.79706073694575,9.59349032062868,0.00368377431571382,0.00958639439230684,"CD8T_LOMGlow_1"
"SLC25A6",0.319495060007197,10.2549473783764,34.6265353297278,8.52445833504445e-07,6.60012516634135e-06,"CD8T_LOMGlow_1"
"STK17B",0.319306893827569,8.78858940716867,11.3715172252915,0.00173919288034031,0.00495464055528642,"CD8T_LOMGlow_1"
"C1QBP",0.319010980496215,8.0939231521777,14.0169579291433,0.000605389858974415,0.00197668004057617,"CD8T_LOMGlow_1"
"SSU72",0.318512169936983,8.25228455022105,22.165286798323,3.3615433176045e-05,0.000158995353240771,"CD8T_LOMGlow_1"
"CAP1",-0.317601296480648,8.98827713028437,14.4931490660834,0.000504149350505673,0.00168974391250471,"CD8T_LOMGlow_1"
"UBTF",0.317189288580256,7.51512626304374,7.58477954382758,0.00901907716912134,0.0209285410868038,"CD8T_LOMGlow_1"
"DDX3X",0.317050970655115,8.25218483644954,8.27143418689939,0.00659958347040184,0.0159779389283413,"CD8T_LOMGlow_1"
"YWHAB",-0.315542294538559,9.60407069028133,23.8318256615779,1.9649799171974e-05,0.000101093045740024,"CD8T_LOMGlow_1"
"HINT1",0.315328430617679,10.2383746197156,21.3951694459573,4.33222887484777e-05,0.000197051145671067,"CD8T_LOMGlow_1"
"STK10",-0.315180028019727,8.10393070028817,13.9620960119819,0.000618368869819454,0.00201066301953768,"CD8T_LOMGlow_1"
"POLR2G",-0.314499860268683,6.99915428693318,10.5384787285726,0.00246097608977472,0.00670551673241754,"CD8T_LOMGlow_1"
"SDF4",-0.313667012378674,7.22174820823618,9.49996500277612,0.00383605474305992,0.0099166770547863,"CD8T_LOMGlow_1"
"TRIM28",0.313240747511465,7.39669422170148,8.98478073454329,0.00480448922914938,0.0121786404447158,"CD8T_LOMGlow_1"
"SKAP1",-0.312971971160102,8.93824890578143,10.9927750605207,0.00203460503329736,0.00570272808615963,"CD8T_LOMGlow_1"
"TALDO1",-0.312859495463936,7.50391123877459,8.73632203453025,0.00536202434753413,0.0133691686109093,"CD8T_LOMGlow_1"
"TMEM59",-0.31267831221131,8.27298182800281,15.992732792611,0.000286922207140421,0.00103636566274277,"CD8T_LOMGlow_1"
"EML4",-0.31202682317515,8.15131869577908,11.4525091209901,0.00168215050196235,0.00480965883924884,"CD8T_LOMGlow_1"
"ZNF22",0.311559514913989,7.07821228675673,7.93709113239267,0.00767698826124382,0.0181646136771336,"CD8T_LOMGlow_1"
"VPS51",0.310942512521558,7.66333173186304,10.5139617370278,0.00248653853467058,0.00675164282677913,"CD8T_LOMGlow_1"
"PPM1M",0.310201182608383,6.79403961714549,8.74615080099642,0.0053387033546921,0.0133382301066109,"CD8T_LOMGlow_1"
"TAF7",0.309565348395396,7.66709578813317,6.45600926565496,0.0153129237644028,0.0334489005133044,"CD8T_LOMGlow_1"
"LARS1",0.308807511872657,7.19527335074823,11.931254852268,0.00138314123881423,0.00405859830676447,"CD8T_LOMGlow_1"
"RER1",-0.308658001388498,7.31349045767282,10.0546388356401,0.00302155201319991,0.00799612072528707,"CD8T_LOMGlow_1"
"FXR1",0.308450456870874,7.56050062650132,11.0202529653004,0.00201147356142994,0.00564801552976018,"CD8T_LOMGlow_1"
"SPOCK2",0.308372091888945,9.07157214298637,15.1446262597096,0.000393740183192913,0.00137457510382526,"CD8T_LOMGlow_1"
"TMED10",-0.307041950893698,7.70913164113728,13.3343982384824,0.000789760271097306,0.00251053874795973,"CD8T_LOMGlow_1"
"CTSS",-0.306392929698679,7.30488580427027,12.8507322925775,0.00095597837540536,0.00294320901404327,"CD8T_LOMGlow_1"
"PUM1",0.306286164808912,6.95955859961302,8.82047352842971,0.00516582360834862,0.0129893056647222,"CD8T_LOMGlow_1"
"COX5A",-0.305371873381295,8.15872363092371,10.7594589740522,0.0022427999247192,0.00619127502786354,"CD8T_LOMGlow_1"
"EIF3G",0.304411373224163,9.16096938594605,10.2767794878986,0.00274894170638334,0.00734930739962999,"CD8T_LOMGlow_1"
"CCNY",0.302502881494425,7.27046518978769,10.6404456664505,0.00235762253459329,0.00646898534053317,"CD8T_LOMGlow_1"
"NDUFS6",-0.302440049884607,7.36519130243064,12.3649281901958,0.00116078286744777,0.00347790115840672,"CD8T_LOMGlow_1"
"HNRNPF",-0.302178122921911,8.62080574870098,10.7007575300138,0.00229867233113242,0.00631831902617066,"CD8T_LOMGlow_1"
"POLR2C",0.301252441449031,6.87070501761599,7.2514135367443,0.0105226576468423,0.02413113865053,"CD8T_LOMGlow_1"
"COPE",-0.299664754830163,7.99385641267765,14.2476235993155,0.000553896795253892,0.00182762571260989,"CD8T_LOMGlow_1"
"LRRFIP1",-0.298296687824306,8.74371835141422,18.2165397456192,0.000128516340125336,0.000514065360501343,"CD8T_LOMGlow_1"
"CHURC1",0.298273567985403,8.11011853311327,15.7716785546418,0.000311417717419931,0.00111454762023975,"CD8T_LOMGlow_1"
"CHD3",0.298223476750246,7.58491406192855,10.0335764715623,0.00304885466076797,0.00804116136499342,"CD8T_LOMGlow_1"
"HAX1",0.29745976474752,7.33277502588096,13.1963138865858,0.000833834878500691,0.00263284962130132,"CD8T_LOMGlow_1"
"DNM2",-0.297314631156673,7.15104199771838,10.1415619483225,0.0029115996718303,0.00771820658769929,"CD8T_LOMGlow_1"
"STT3B",0.29682705724328,7.64894101163873,6.5240639702987,0.0148229561539537,0.0325148715635113,"CD8T_LOMGlow_1"
"INTS10",0.296802301625702,6.77151318884539,6.97336736233677,0.0119828754720655,0.0268884034982933,"CD8T_LOMGlow_1"
"PHF1",0.296454188920833,7.24310603408313,8.71057862927475,0.00542362369951917,0.013464361057219,"CD8T_LOMGlow_1"
"TMSB4X",-0.295661916951669,12.9533921228069,9.29874100469538,0.00418692340871379,0.0107703095579414,"CD8T_LOMGlow_1"
"CD52",-0.29442111492017,11.1109207493737,24.9793244011156,1.3701551403436e-05,7.36399532473328e-05,"CD8T_LOMGlow_1"
"HMGB1",-0.294398366528327,10.1315447187336,14.7971304086344,0.000449028522415889,0.00154008905495274,"CD8T_LOMGlow_1"
"PHF3",0.294353523747358,8.02572291178162,17.2118386359829,0.000183883062652703,0.000706616977859527,"CD8T_LOMGlow_1"
"CHMP2A",-0.294177637176269,6.93374344970796,9.27265712144191,0.00423485317589404,0.0108578858477021,"CD8T_LOMGlow_1"
"RBL2",0.293981051467695,8.84661346695497,12.5714694641119,0.00106853032015041,0.00323245922768907,"CD8T_LOMGlow_1"
"PSMA5",-0.293903337574352,7.65525877681077,7.74419000955869,0.00838306198797163,0.0196274086065683,"CD8T_LOMGlow_1"
"UBA2",0.293749180418027,7.50361484608163,8.53657933405031,0.00586031713328502,0.01438859654075,"CD8T_LOMGlow_1"
"EIF3F",0.293169072120379,9.6456381219434,13.9381329628176,0.000624130197940455,0.00202518595348314,"CD8T_LOMGlow_1"
"PCBP2",0.292649097583562,9.55975540611039,14.0262354368607,0.000603223716001137,0.0019737278071669,"CD8T_LOMGlow_1"
"PRDX1",-0.292367429370801,7.76732307794,7.83483682658459,0.0080429752545239,0.0189731723952872,"CD8T_LOMGlow_1"
"CD53",-0.292337970145206,8.98607477670794,12.7737401362497,0.00098569419700952,0.00299927183681496,"CD8T_LOMGlow_1"
"CHD2",0.291938435128774,8.01233404256174,8.17773986867265,0.00688415746135117,0.0165388974954735,"CD8T_LOMGlow_1"
"MAP4K4",0.291611072249964,7.18238423952925,6.55210314318655,0.0146260205744892,0.0321279440709286,"CD8T_LOMGlow_1"
"PTPRCAP",-0.291405619736776,9.92593082818742,18.9638243001706,9.89186836953743e-05,0.000410368226258794,"CD8T_LOMGlow_1"
"HSF1",0.291235069205584,6.84916994368734,10.4852496980201,0.00251683458359941,0.00682206115901123,"CD8T_LOMGlow_1"
"SCAMP2",-0.289253246466516,7.4675567386627,12.3962297735575,0.00114627498493193,0.00344764245467987,"CD8T_LOMGlow_1"
"COX6C",0.289215686312658,9.61428154420003,20.7916102704042,5.29871184007072e-05,0.000234101280165836,"CD8T_LOMGlow_1"
"TRAPPC1",-0.288857721002921,8.34015749623077,10.2275540086602,0.0028070078630715,0.00747897836089238,"CD8T_LOMGlow_1"
"PNN",0.288743510988705,7.71410442402026,10.2657723746239,0.00276181373248129,0.00737112061024017,"CD8T_LOMGlow_1"
"TRAPPC6A",0.288400852497918,7.13214802573395,8.30380614006721,0.00650420784166732,0.0158204993225003,"CD8T_LOMGlow_1"
"TERF2IP",-0.288250466156349,8.04139908366605,11.6511144812528,0.00155052151774673,0.00449076972917757,"CD8T_LOMGlow_1"
"TTC14",0.286834703035299,6.94274413228317,6.62991759040504,0.014094094490954,0.031003043296557,"CD8T_LOMGlow_1"
"CDC37",-0.286386863774695,8.59049326680634,16.0706193608847,0.000278784529323331,0.00101636131436291,"CD8T_LOMGlow_1"
"SRI",-0.285013726204855,7.76990477232439,9.96356028825173,0.00314151958304398,0.00825770861828703,"CD8T_LOMGlow_1"
"CPSF6",0.284799844363836,7.29212934257069,14.1334494149959,0.000578778571809608,0.00190027394975051,"CD8T_LOMGlow_1"
"DDOST",-0.284793303991951,7.86505056984121,11.4884008549145,0.00165751086296054,0.00477411968631729,"CD8T_LOMGlow_1"
"CYC1",-0.284605512679813,7.07775773786454,9.14066311005478,0.00448653665342393,0.0114655936698611,"CD8T_LOMGlow_1"
"TNRC6B",0.2840356061332,8.06828366935738,11.9999678815939,0.00134509011879674,0.00396180969076855,"CD8T_LOMGlow_1"
"RSBN1",0.283339300819556,6.81399390062397,7.95473708441909,0.00761565464412062,0.0180741788519039,"CD8T_LOMGlow_1"
"COX7A2L",0.283145926609824,8.07737636414052,12.9519829720237,0.000918338741882268,0.00284191918753672,"CD8T_LOMGlow_1"
"GPI",-0.282966293901992,7.93237866723454,9.57471627745527,0.00371381765192865,0.0096325220690156,"CD8T_LOMGlow_1"
"CTBP1",-0.282877550534576,7.93294594369171,8.79425414125808,0.00522611917667516,0.013119824064719,"CD8T_LOMGlow_1"
"MAP2K2",-0.282519961362248,7.96613765481464,11.8388707906318,0.00143611206988619,0.00419827902299439,"CD8T_LOMGlow_1"
"SPCS3",-0.281770853112231,7.5228926358731,8.73357065200045,0.00536857210540919,0.0133691686109093,"CD8T_LOMGlow_1"
"TMSB10",0.28175625105364,13.0996414853606,24.9159705909042,1.39744136915394e-05,7.48492568957795e-05,"CD8T_LOMGlow_1"
"ARIH2",-0.281375132667892,7.33322738312702,8.73014733839895,0.00537673085438744,0.0133691686109093,"CD8T_LOMGlow_1"
"MYH9",-0.281197031974018,9.38657520565774,12.3420438290779,0.00117151274931631,0.00350333831726713,"CD8T_LOMGlow_1"
"PSMB8",-0.280925677438987,8.72593114178695,10.9345930109548,0.00208452261334037,0.00582177387011489,"CD8T_LOMGlow_1"
"CTSD",-0.280882593397044,7.81905305066359,6.16034290408349,0.0176537159570166,0.0377191417442267,"CD8T_LOMGlow_1"
"TNFAIP8",0.280539164178993,8.33507014726331,10.8974772337728,0.00211704545749703,0.00590206612393113,"CD8T_LOMGlow_1"
"CCT5",-0.28034776432092,7.31857458978588,7.0119903888365,0.0117676316426866,0.0264433561625888,"CD8T_LOMGlow_1"
"HADHA",0.279254584232226,8.25505378608904,9.90616452649104,0.00321971893896783,0.00843490857712845,"CD8T_LOMGlow_1"
"TMPO",0.278323558195383,7.92168603605946,12.2332418027801,0.00122398714591328,0.00363247798142005,"CD8T_LOMGlow_1"
"PRKACB",0.277881477887399,8.03919666688466,9.48274582263024,0.00386481580516686,0.0099745411209257,"CD8T_LOMGlow_1"
"TTC19",0.277333834348065,6.99758027142929,7.07647234430407,0.0114174794312207,0.0258616936084503,"CD8T_LOMGlow_1"
"ZRANB2",0.276127425353122,8.01625699140624,7.76721403335446,0.00829524614171749,0.0194699011405149,"CD8T_LOMGlow_1"
"CSK",-0.274923677317921,8.48501168844193,14.1299517838875,0.000579559254495521,0.00190027394975051,"CD8T_LOMGlow_1"
"RPN2",-0.274294978705271,7.9425603885567,12.8101284721749,0.000971529478746847,0.00297352662379661,"CD8T_LOMGlow_1"
"ANTKMT",0.274001341188831,7.13259552637172,5.56224966753465,0.0236590457436271,0.0490752619934123,"CD8T_LOMGlow_1"
"CNPY3",0.273610011284309,7.64681214709701,13.9012023333514,0.000633120942658999,0.00204587015355098,"CD8T_LOMGlow_1"
"WDR43",0.271590143779423,6.97269119281359,6.77689288516042,0.0131453430301166,0.0291621510625566,"CD8T_LOMGlow_1"
"SEC62",0.271513060101196,8.73414167620305,11.7056013851051,0.00151635477145673,0.00441634797496895,"CD8T_LOMGlow_1"
"ATP1A1",0.270252566214268,7.91015092913688,7.51182799329609,0.00932721702602917,0.0215277217482253,"CD8T_LOMGlow_1"
"JMJD1C",0.269942227909096,7.67048312215312,14.2709268917301,0.000548959085363749,0.00181516281080106,"CD8T_LOMGlow_1"
"SHISA5",-0.269677458277441,8.03162229790938,10.2779995116253,0.00274751891311095,0.00734930739962999,"CD8T_LOMGlow_1"
"RAC1",-0.269193532352346,8.00976663063359,9.09850331673185,0.00457025164172238,0.011635791852855,"CD8T_LOMGlow_1"
"BIN2",-0.268822693522544,8.90668604633652,9.0306238660578,0.00470855894927457,0.0119548477218595,"CD8T_LOMGlow_1"
